baseClass,equivalentClass
UMLS:C1518692,DOID:6554
UMLS:C0041960,DOID:4022
UMLS:C0013393,DOID:1934
UMLS:C0334328,DOID:8102
UMLS:C1336362,DOID:7315
UMLS:C0003972,DOID:2348
UMLS:C1135189,DOID:11149
UMLS:C0155470,DOID:5781
UMLS:C1332607,DOID:2132
UMLS:C0278717,DOID:4653
UMLS:C0151295,DOID:1835
UMLS:C1333626,DOID:7512
UMLS:C0268337,DOID:14757
UMLS:C1518714,DOID:5169
UMLS:C0154833,DOID:2462
UMLS:C0020626,DOID:11199
UMLS:C0280792,DOID:7817
UMLS:C0017658,DOID:2921
UMLS:C0040412,DOID:11514
UMLS:C0001125,DOID:3650
UMLS:C1519855,DOID:5916
UMLS:C0035304,DOID:8466
UMLS:C0272412,DOID:2530
UMLS:C0149881,DOID:9401
UMLS:C0033949,DOID:5576
UMLS:C0012555,DOID:12275
UMLS:C0013261,DOID:12557
UMLS:C1511283,DOID:7312
UMLS:C0002882,DOID:2861
UMLS:C1335684,DOID:6459
UMLS:C1378340,DOID:7532
UMLS:C0029800,DOID:8644
UMLS:C1333987,DOID:7996
UMLS:C0038165,DOID:9063
UMLS:C0154858,DOID:12162
UMLS:C1336874,DOID:6935
UMLS:C0271051,DOID:4449
UMLS:C0393799,DOID:12889
UMLS:C0162568,DOID:13270
UMLS:C0036472,DOID:13371
UMLS:C0019048,DOID:582
UMLS:C0009081,DOID:11836
UMLS:C1511208,DOID:3741
UMLS:C0149506,DOID:9937
UMLS:C0302362,DOID:14456
UMLS:C0007527,DOID:1518
UMLS:C0206671,DOID:5442
UMLS:C0405580,DOID:10493
UMLS:C0018817,DOID:1882
UMLS:C0023772,DOID:3146
UMLS:C0751583,DOID:2365
UMLS:C0153435,DOID:12190
UMLS:C1336875,DOID:11887
UMLS:C1332272,DOID:3691
UMLS:C0158314,DOID:12475
UMLS:C0037856,DOID:11996
UMLS:C0029706,DOID:9847
UMLS:C0155239,DOID:9935
UMLS:C0751304,DOID:6869
UMLS:C0153042,DOID:8607
UMLS:C0271428,DOID:5100
UMLS:C0015807,DOID:5546
UMLS:C0011570,DOID:1596
UMLS:C1333189,DOID:7537
UMLS:C0346067,DOID:5273
UMLS:C0344318,DOID:605
UMLS:C1527407,DOID:5870
UMLS:C0041312,DOID:404
